"","C_1","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","C_10","C_11","C_12","C_13","C_14","C_15","C_16","C_17","C_18","C_19","C_20","C_21","C_22","C_23","C_24","C_25","C_26","C_27","C_28","C_29","C_30","C_31","C_32","C_33","C_34","C_35","C_36","C_37","C_38","C_39","C_40","C_41","C_42","C_43","C_44","C_45","C_46","C_47","C_48","C_49","C_50","C_51","C_52","C_53","C_54","C_55","C_56","C_57","C_58","C_59","C_60","C_61","C_62","C_63","C_64","C_65","C_66","C_67","C_68","C_69","C_70","C_71","C_72","C_73","C_74","C_75","C_76","C_77","C_78","C_79","C_80","C_81","C_82","C_83","C_84","C_85","C_86","C_87","C_88","C_89","C_90","C_91","C_92","C_93","C_94","C_95","C_96","C_97","C_98","C_99","C_100","C_101","C_102","C_103","C_104","C_105","C_106","C_107","C_108","C_109","C_110","C_111","C_112","C_113","C_114","C_115","C_116","C_117","C_118","C_119","C_120","C_121","C_122","C_123","C_124","C_125","C_126","C_127","C_128","C_129","C_130","C_131","C_132","C_133","C_134","C_135","C_136","C_137","C_138","C_139","C_140","C_141","C_142","C_143","C_144","C_145","C_146","C_147","C_148","C_149","C_150","C_151","C_152","C_153","C_154","C_155","C_156","C_157","C_158","C_159","C_160","C_161","C_162","C_163","C_164","C_165","C_166","C_167","C_168","C_169","C_170","C_171","C_172","C_173","C_174","C_175","C_176","C_177","C_178","C_179","C_180","C_181","C_182","C_183","C_184","C_185","C_186","C_187","C_188","C_189","C_190","C_191","C_192","C_193","C_194","C_195","C_196","C_197","C_198","C_199","C_200","C_201","C_202","C_203","C_204","C_205","C_206","C_207","C_208","C_209","C_210","C_211","C_212","C_213","C_214","C_215","C_216","C_217","C_218","C_219","C_220","C_221","C_222","C_223","C_224","C_225","C_226","C_227","C_228","C_229","C_230","C_231","C_232","C_233","C_234","C_235","C_236","C_237","C_238","C_239","C_240","C_241","C_242","C_243","C_244","C_245","C_246","C_247","C_248","C_249","C_250","C_251","C_252","C_253","C_254","C_255","C_256","C_257","C_258","C_259","C_260","C_261","C_262","C_263","C_264","C_265","C_266","C_267","C_268","C_269","C_270","C_271","C_272","C_273","C_274","C_275","C_276","C_277","C_278","C_279","C_280","C_281","C_282","C_283","C_284","C_285","C_286","C_287","C_288","C_289","C_290","C_291","C_292","C_293","C_294","C_295","C_296","C_297","C_298","C_299","C_300","C_301","C_302","C_303","C_304","C_305","C_306","C_307","C_308","C_309","C_310","C_311","C_312","C_313","C_314","C_315","C_316","C_317","C_318","C_319","C_320","C_321","C_322","C_323","C_324","C_325","C_326","C_327","C_328","C_329","C_330","C_331","C_332","C_333","C_334","C_335","C_336","C_337","C_338","C_339","C_340","C_341","C_342","C_343","C_344","C_345","C_346","C_347","C_348","C_349","C_350","C_351","C_352","C_353","C_354","C_355","C_356","C_357","C_358","C_359","C_360","C_361","C_362","C_363","C_364","C_365","C_366","C_367","C_368","C_369","C_370","C_371","C_372","C_373","C_374","C_375","C_376","C_377","C_378","C_379","C_380","C_381","C_382","C_383","C_384","C_385","C_386","C_387","C_388","C_389","C_390","C_391","C_392","C_393","C_394","C_395","C_396","C_397","C_398","C_399","C_400","C_401","C_402","C_403","C_404","C_405","C_406","C_407","C_408"
"Cytl1",0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,83641,2,2,0,0,0,0,0,0,0,0,0,126460,0,0,0,0,0,0,5663,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6361,0,0,1,0,0,80933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21274,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,86323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35775,0,0,0,0,42848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,3,0,0,0,5525,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12749,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89642,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,108,0,0,0,0,1,2450,0,0,0,0,49527,0,0,0,0,0,0,0,0,13901,0,0,0,4149,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Ccl5",0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,1,0,29870,0,0,0,0,0,0,0,36718,0,0,0,0,0,0,3,2,0,0,1,0,0,0,18,0,0,0,0,1,0,0,34343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6570,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,24,0,0,0,0,0,0,0,0,0,496,0,0,0,12680,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1996,0,0,0,326,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,827,0,0,0,2311,0,0,0,0,0,38,0,0,1,0,0,0,0,0,9212,0,0,10214,0,0,0,6290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17352,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sfrp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1301,0,0,82,0,0,0,0,0,0,0,210,0,0,0,39,0,0,202,0,0,0,0,0,0,1,1875,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771,0,0,0,0,0,0,2752,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4411,5441,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,7572,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7158,14,0,5968,0,0,0,0,0,0,8336,0,0,0,0,0,0,0
"Clu",2,0,0,788,0,1,0,3,0,0,0,0,1,0,0,432,1,0,0,266,0,0,0,0,0,3,2,0,1,1281,0,261,0,10210,0,7972,3,1,0,0,1,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,156,0,2,67,0,0,2366,0,1,0,42185,0,0,874,0,1,1,0,0,0,52,0,86372,0,2078,0,0,0,2429,5603,0,1,0,16,0,0,0,1,0,14,949,0,0,2,0,0,0,8686,0,0,0,0,0,0,0,437,4,0,0,0,1,1,2,0,0,4,0,66850,24029,0,0,3,259,0,0,0,0,0,4,1,0,0,0,0,0,0,459,0,0,0,0,0,0,1513,0,0,0,0,1315,0,8396,0,0,0,4,4,1,2,0,5917,2,0,0,0,0,0,0,4,0,16990,2,0,0,7,0,0,978,1,52,0,374,2,0,1,0,0,37,0,0,0,1,15,0,0,0,1,0,1,0,12721,573,0,0,0,37604,1,0,0,0,8226,0,0,0,0,0,0,0,1240,0,0,0,431,461,0,3,1422,0,0,942,0,1451,0,0,0,0,0,6032,1,0,0,1,0,2723,0,0,829,0,9804,0,0,781,0,3,1,4082,0,469,0,1,1,0,232,0,0,0,0,0,1,1,334,0,0,6244,0,1,0,1,2,0,1,716,0,81,0,0,0,14,0,0,0,0,1,0,0,275,0,3576,620,0,0,0,0,19,0,3320,673,0,0,10,0,1,11906,0,477,0,0,0,0,0,0,0,1,0,49203,0,1,1,0,0,0,0,0,223,0,0,0,1,0,0,1,0,149,0,0,327,0,0,0,0,0,2420,0,1390,0,0,47982,0,0,0,0,1,0,0,1,7664,1,0,0,10201,1,0,0,1908,0,0,0,0,0,0,7,0,0,1,0,757,0,0,350,0,0,0,0,0,0,0
"Cyp2f2",0,0,0,0,0,0,0,0,0,0,43069,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,12824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,3199,0,0,0,0,0,0,0,14898,0,0,0,0,39616,0,43,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54617,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2894,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13133,0,0,0,25,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,120,0,0,0,15488,0,0,0,0,0,9,0,0,0,10485,0,0,1,0,0,0,0,0,79,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17797,0,0,1,0,934,69
"Alas2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52240,44412,12540,6327,0,0,0,334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4107,4825,5808,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,9441,0,0,0,0,0,0,0,0,0,0,0,6663,0,0,0,0,0,0,7649,3,5498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5366,0,62,0,2851,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16280,4113,65551,2899,0,13296,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,3280,3246,0,31925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,15032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16091,15213,21930,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23241,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,22,0,0,0,4416,0,0,6967,1191,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,60802,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17536,0,0,0,0,0,1,0,0,0,0,0,0,5471,0,0,0,0,0,0,0,0,0,0,0,0
"H2-Ab1",0,86547,0,10,100,0,2,0,152669,0,0,0,0,0,0,0,1,212624,1,0,0,0,3,0,1,0,1,0,0,0,41102,0,1,93,0,0,62020,22647,0,0,3,6,0,0,0,343,0,0,0,0,0,0,0,0,0,2464,0,0,0,0,2,82101,37770,0,136,0,2445,0,0,0,36242,0,0,4165,0,5288,0,1877,38,0,0,7,0,0,0,1,0,0,0,15255,0,0,317,0,0,0,0,650,0,21,0,0,0,0,1,951,0,0,0,0,22,0,0,13321,1,0,42409,0,1,0,1,0,0,0,502,1,0,0,0,0,0,1822,0,3,24156,0,329,3,0,0,0,500,62,0,0,108,40,2,1,0,0,0,0,0,0,0,0,0,1,421,0,0,0,0,2,1,93710,0,1,2,0,0,608,42160,0,0,0,0,2,0,1,2,0,0,7,0,0,0,0,0,96356,1,0,0,4,15858,0,0,0,69,0,303,0,75,0,3,17,0,1,1282,0,0,2,0,0,0,50,2835,346,0,0,0,0,280,25275,0,11415,0,0,0,0,0,0,0,160,0,0,1,25,0,1,619,0,8,2,3442,0,16,1,1,37,0,12,1,0,0,0,2,43,153157,286,0,125878,3099,38215,1,0,1,0,5634,703,0,0,1,1166,1,0,0,0,0,0,0,1,0,0,0,35452,0,0,778,0,157387,34159,0,0,0,21898,2,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,42929,0,0,0,71,77,0,1,19,0,0,0,89,0,0,0,0,0,0,0,2,1,0,0,844,0,116,0,0,1,0,0,1,0,1,241,364,0,194594,0,0,0,5,1,2,0,1,0,351,23291,0,4,0,8097,0,1028,13998,0,1,23,0,0,1,25133,1,0,0,0,0,0,0,0,0,0,27,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"H2-DMb2",0,2402,0,0,0,0,0,0,11036,0,0,0,0,0,0,0,0,9462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,303,0,0,0,1,0,0,0,388,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,3905,0,0,0,15,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,71,179,0,2090,0,0,0,0,0,0,0,375,0,0,0,58,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7628,19,0,1581,676,1,0,0,0,0,315,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10307,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,3,0,24,0,0,0,0,0,0,3366,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lyz2",2,553,0,0,1,1,4,0,646,0,1,4,0,2,1,0,1,28757,1,0,2,0,1,0,1,1,18,0,1,0,8474,0,0,1,0,1,0,28112,0,0,5,7,0,0,2,5,0,0,0,0,0,0,2,22,0,1216,0,0,6,0,0,6797,2082,0,300,1,2,1,426,0,2354,0,0,1,0,2487,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1041,0,2681,7,3,1,0,1,6,0,3,3,1,2087,0,0,419,0,0,1,0,4,0,0,0,0,0,0,1,0,0,3744,0,414,2,1,1,0,7,34833,4,0,12,1,0,2,538,0,0,0,5,0,0,2,4,2,0,3,1,0,2,880,1,10278,1,1,0,0,1,0,49456,2,0,3,0,0,0,1,0,1,0,0,1,1,2,0,3,124371,0,0,2,0,2174,0,3,0,306,1,1,0,0,0,2,0,1,0,0,0,1,9,0,0,0,2,0,86,1,0,4,1,20,3969,5,17,0,0,1,1,1,3,0,0,0,5,0,1,0,0,1,0,7,0,0,47,0,0,0,373,8,1,2,0,0,1,1,10,0,0,0,3698,0,3407,0,1,1,0,2,67,0,0,1,2,0,2027,2,1,4,4,0,0,0,1,0,755,270,0,1719,0,4214,77256,2,0,409,29918,2,0,2430,2,0,1,0,2,1,4,117,0,22,790,1,0,5986,0,0,0,0,20,0,2,1085,0,1,7,19,2,0,2,1,3,0,0,0,0,0,7,0,2,1,0,1,0,0,1,0,3,4,3,126,1,0,2,0,0,2,0,0,0,2,0,2,25130,0,3,1,4,0,1,4489,11,1,1,3,2,1,1,4,2,1,0,2,0,1,0,1,2,0,0,1,4,0,2,2,0,1,0,2,0,1,2,2,2,0,1,2,2,0
"Acta2",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,2,30121,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43605,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,908,0,0,0,109252,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,278,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,176,0,0,0,0,13,0,0,0,0,0,0,0,231,0,0,1187,0,0,0,50203,0,0,2699,0,0,0,0,141,0,0,248,0,0,0,0,0,0,0,0,2,0,9,0,0,111,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,449,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,1024,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1840,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14532,0,299,0,0,4,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,4,0,0,0,0,0
